Participant,EDA,DiffEDA
5,3.11907225989295,-3.01173548021409
5,3.11720732449937,-3.01546535100127
5,3.11644232449937,-3.01393535100127
5,3.125439231389,-3.002041537222
5,3.125439231389,-3.002041537222
5,3.11610441116239,-3.02071117767523
5,3.11610441116239,-3.02071117767523
5,3.12051821003304,-2.99968357993391
5,3.12204321003304,-3.00273357993391
5,3.11457941116239,-3.01766117767523
5,3.11457941116239,-3.01766117767523
5,3.12204321003304,-3.00273357993391
5,3.11848048689007,-3.00681902621986
5,3.11848048689007,-3.00681902621986
5,3.11771548689007,-3.00528902621986
5,3.11771548689007,-3.00528902621986
5,3.12180050508781,-2.99101898982437
5,3.12332550508781,-2.99406898982437
5,3.11746821003304,-2.99358357993391
5,3.11822821003304,-2.99510357993391
5,3.11525725989295,-3.00410548021409
5,3.11373225989295,-3.00105548021409
5,3.11559922063713,-2.99732155872573
5,3.11559922063713,-2.99732155872573
5,3.11000441116239,-3.00851117767523
5,3.10923941116239,-3.00698117767523
5,3.10881232449937,-2.99867535100127
5,3.10881232449937,-2.99867535100127
5,3.09211850557393,-3.03206298885213
5,3.09135850557393,-3.03054298885213
5,3.10322963751802,-3.00984072496396
5,3.10322963751802,-3.00984072496396
5,3.10246963751802,-3.00832072496396
5,3.10991725989295,-2.99342548021409
5,3.10915225989295,-2.99189548021409
5,3.10728732449937,-2.99562535100127
5,3.10728732449937,-2.99562535100127
5,3.11136321003305,-2.98137357993391
5,3.11136321003305,-2.98137357993391
5,3.10356351659518,-3.00307296680964
5,3.10203851659518,-3.00002296680964
5,3.10094463751802,-3.00527072496396
5,3.09865463751802,-3.00069072496396
5,3.09941463751802,-3.00221072496396
5,3.09941463751802,-3.00221072496396
5,3.09865463751802,-3.00069072496396
5,3.09941463751802,-3.00221072496396
5,3.10610225989295,-2.98579548021409
5,3.10533725989295,-2.98426548021409
5,3.10084941116239,-2.99020117767523
5,3.10008441116239,-2.98867117767523
5,3.09636463751802,-2.99611072496396
5,3.09636463751802,-2.99611072496396
5,3.09932441116239,-2.98715117767523
5,3.09932441116239,-2.98715117767523
5,3.10381225989295,-2.98121548021409
5,3.10305225989295,-2.97969548021409
5,3.09483963751802,-2.99306072496396
5,3.09407463751802,-2.99153072496396
5,3.10008441116239,-2.98867117767523
5,3.09855941116239,-2.98562117767523
5,3.10245548689007,-2.97476902621986
5,3.10322048689007,-2.97629902621987
5,3.09483963751802,-2.99306072496396
5,3.09178963751802,-2.98696072496396
5,3.09440851659518,-2.98476296680964
5,3.09517351659518,-2.98629296680964
5,3.09626941116239,-2.98104117767523
5,3.09550941116239,-2.97952117767523
5,3.09178963751802,-2.98696072496396
5,3.09025963751802,-2.98390072496396
5,3.08949963751802,-2.98238072496396
5,3.09331463751802,-2.99001072496396
5,3.09195382532505,-2.9835723493499
5,3.08966382532505,-2.9789923493499
5,3.08949963751802,-2.98238072496396
5,3.08949963751802,-2.98238072496396
5,3.07378008018034,-3.01381983963932
5,3.07225508018034,-3.01076983963932
5,3.08873463751802,-2.98085072496396
5,3.08797463751802,-2.97933072496396
5,3.07149008018034,-3.00923983963932
5,3.07378008018034,-3.01381983963932
5,3.09389225989295,-2.96137548021409
5,3.09389225989295,-2.96137548021409
5,3.08890382532505,-2.9774723493499
5,3.08584882532505,-2.9713623493499
5,3.07164577131026,-3.00586845737949
5,3.07241077131026,-3.00739845737949
5,3.08720963751802,-2.97780072496396
5,3.08568463751802,-2.97475072496396
5,3.06844008018034,-3.00313983963932
5,3.07365082574185,-2.99881834851629
5,3.07365082574185,-2.99881834851629
5,3.08415963751802,-2.97170072496396
5,3.08491963751802,-2.97322072496396
5,3.08339463751802,-2.97017072496396
5,3.08339463751802,-2.97017072496396
5,3.07120364368895,-2.9976127126221
5,3.07043864368895,-2.9960827126221
5,3.08186963751802,-2.96712072496396
5,3.08415963751802,-2.97170072496396
5,3.06615008018034,-2.99855983963932
5,3.06691508018034,-3.00008983963932
5,3.08034463751802,-2.96407072496396
5,3.08186963751802,-2.96712072496396
5,3.06462508018034,-2.99550983963932
5,3.06538508018034,-2.99702983963932
5,3.06630577131026,-2.99518845737949
5,3.06554577131026,-2.99366845737949
5,3.06770850557393,-2.98324298885213
5,3.06999350557393,-2.98781298885213
5,3.06494195901251,-2.98877608197498
5,3.06249077131026,-2.98755845737949
5,3.06402077131026,-2.99061845737949
5,3.06325577131026,-2.98908845737949
5,3.06173077131026,-2.98603845737949
5,3.06096577131026,-2.98450845737949
5,3.06249077131026,-2.98755845737949
5,3.06081008018034,-2.98787983963932
5,3.06081008018034,-2.98787983963932
5,3.0545313389711,-2.9973773220578
5,3.0530063389711,-2.9943273220578
5,3.05988988522135,-2.9897202295573
5,3.05759988522135,-2.9851402295573
5,3.05852008018034,-2.98329983963932
5,3.05928508018034,-2.98482983963932
5,3.06204864368895,-2.9793027126221
5,3.05975864368895,-2.9747227126221
5,3.05392405908153,-2.99249188183694
5,3.05315905908153,-2.99096188183694
5,3.06280864368895,-2.9808227126221
5,3.06051864368895,-2.9762427126221
5,3.0522413389711,-2.9927973220578
5,3.0507163389711,-2.9897473220578
5,3.05775508018034,-2.98176983963932
5,3.05623008018034,-2.97871983963932
5,3.05056411263218,-2.99311177473564
5,3.04979911263218,-2.99158177473564
5,3.05087405908153,-2.98639188183694
5,3.05010905908153,-2.98486188183694
5,3.05623008018034,-2.97871983963932
5,3.05394508018034,-2.97414983963932
5,3.05042098221266,-2.97813803557467
5,3.05042098221266,-2.97813803557467
5,3.05394508018034,-2.97414983963932
5,3.05394508018034,-2.97414983963932
5,3.05194598221266,-2.98118803557467
5,3.05118598221266,-2.97966803557467
5,3.04981518603231,-2.97324962793538
5,3.05134018603231,-2.97629962793538
5,3.0461413389711,-2.9805973220578
5,3.04598411263218,-2.98395177473564
5,3.04674911263218,-2.98548177473564
5,3.0476663389711,-2.9836473220578
5,3.0476663389711,-2.9836473220578
5,3.04920988522135,-2.9683602295573
5,3.04920988522135,-2.9683602295573
5,3.04262613967572,-2.98456772064856
5,3.04186613967572,-2.98304772064856
5,3.05013008018034,-2.96651983963932
5,3.05165508018034,-2.96956983963932
5,3.04095039226267,-2.98487921547465
5,3.04095039226267,-2.98487921547465
5,3.04186613967572,-2.98304772064856
5,3.04110113967572,-2.98151772064856
5,3.03744110152016,-2.98883779695968
5,3.03973110152016,-2.99341779695968
5,3.04737098221266,-2.97203803557467
5,3.04584098221266,-2.96897803557467
5,3.04767988522135,-2.9653002295573
5,3.04767988522135,-2.9653002295573
5,3.04860008018034,-2.96345983963932
5,3.04860008018034,-2.96345983963932
5,3.04860008018034,-2.96345983963932
5,3.04631508018034,-2.95888983963932
5,3.03637039226267,-2.97571921547465
5,3.03789539226267,-2.97876921547465
5,3.03789539226267,-2.97876921547465
5,3.03637039226267,-2.97571921547465
5,3.04279098221266,-2.96287803557467
5,3.04202598221266,-2.96134803557467
5,3.03133610152016,-2.97662779695968
5,3.02981110152016,-2.97357779695968
5,3.02950902997747,-2.98028194004506
5,3.02874902997747,-2.97876194004506
5,3.03408039226267,-2.97113921547465
